id,name,description,price,categoryId,stock,shopId,created_at,updated_at,vendorId
1,iPhone 13,Latest Apple smartphone,999.99,2,50,1,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,1
2,Samsung Galaxy S21,Flagship Samsung smartphone,799.99,2,40,1,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,1
3,Google Pixel 6,Newest Google smartphone,699.99,2,30,1,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,1
4,MacBook Pro,Apple laptop with M1 chip,1299.99,3,20,1,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,1
5,Dell XPS 13,High-performance Dell laptop,999.99,3,15,1,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,1
6,Sony Alpha 7C,Compact full-frame camera,1799.99,4,10,1,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,1
7,Canon EOS R5,Professional mirrorless camera,3899.99,4,5,1,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,1
8,Wireless Earbuds,Noise-cancelling earbuds,199.99,5,100,1,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,1
9,Smartwatch,Fitness tracking smartwatch,299.99,5,80,1,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,1
10,Microwave Oven,Compact microwave oven,99.99,6,25,1,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,1
11,Summer Dress,Light and breezy summer dress,49.99,8,60,2,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,2
12,Winter Coat,Warm and stylish winter coat,129.99,8,30,2,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,2
13,Jeans,Classic blue jeans,39.99,8,100,2,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,2
14,Men's T-shirt,Casual cotton t-shirt,19.99,9,150,2,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,2
15,Men's Suit,Elegant formal suit,199.99,9,20,2,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,2
16,Sneakers,Comfortable running sneakers,59.99,10,80,2,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,2
17,High Heels,Stylish high heel shoes,89.99,10,40,2,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,2
18,Leather Belt,Genuine leather belt,29.99,11,70,2,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,2
19,Silk Scarf,Elegant silk scarf,39.99,11,50,2,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,2
20,Handbag,Designer leather handbag,149.99,12,25,2,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,2
21,Beaded Necklace,Handmade beaded necklace,24.99,14,40,3,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,3
22,Silver Earrings,Handcrafted silver earrings,34.99,14,30,3,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,3
23,Gold Bracelet,Elegant gold bracelet,99.99,14,20,3,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,3
24,Abstract Painting,Colorful abstract painting,199.99,15,10,3,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,3
25,Landscape Painting,Beautiful landscape painting,249.99,15,5,3,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,3
26,Wooden Sculpture,Hand-carved wooden sculpture,149.99,16,8,3,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,3
27,Clay Vase,Decorative clay vase,39.99,17,25,3,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,3
28,Woven Blanket,Handwoven wool blanket,89.99,18,15,3,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,3
29,Ceramic Bowl,Handcrafted ceramic bowl,29.99,18,30,3,2024-10-26 00:13:13.593000,2024-10-26 00:13:13.593000,3
